match_id,TEAM,MAP_PICK,WIN
2304367,TeamOne,Mirage,Y
2304373,Spirit,Mirage,N
2304373,PRIDE,Cobblestone,N
2304390,FaZe,Nuke,Y
2304390,Wizards,Mirage,Y
2304391,ENCE,Dust2,Y
2304391,ENCE,Dust2,N
2304391,LGR,Cache,Y
2304391,LGR,Cache,N
2304392,PENTA,Train,Y
2304392,PENTA,Train,N
2304392,Preparation,Cache,Y
2304392,Preparation,Cache,N
2304393,mousesports,Dust2,Y
2304393,mousesports,Dust2,N
2304393,GODSENT,Cache,Y
2304393,GODSENT,Cache,N
2304395,faithIN,Cache,Y
2304395,GamePub,Mirage,Y
2304396,iNation,Cobblestone,N
2304396,iNation,Cobblestone,Y
2304396,TEAM1231,Mirage,N
2304396,TEAM1231,Mirage,Y
2304400,LGR,Dust2,N
2304400,LGR,Dust2,Y
2304400,LowLandLions,Cache,N
2304400,LowLandLions,Cache,Y
2304401,TSM,Cobblestone,N
2304401,TSM,Cobblestone,Y
2304401,OpTic,Mirage,N
2304401,OpTic,Mirage,Y
2304402,TSM,Mirage,Y
2304402,TSM,Mirage,N
2304402,"Echo Fox",Dust2,Y
2304402,"Echo Fox",Dust2,N
2304410,NRG,Overpass,Y
2304410,NRG,Overpass,N
2304410,CLG,Cobblestone,Y
2304410,CLG,Cobblestone,N
2304419,FaZe,Train,N
2304419,FaZe,Train,Y
2304419,GODSENT,Mirage,N
2304419,GODSENT,Mirage,Y
2304420,mousesports,Cache,N
2304420,Gambit,Cobblestone,N
2304421,Envy,Train,Y
2304421,FlipSid3,Cache,Y
2304422,Dignitas,Nuke,Y
2304422,Dignitas,Nuke,N
2304422,Astralis,Cache,Y
2304422,Astralis,Cache,N
2304426,Cloud9,0.0,Y
2304426,Rogue,0.0,Y
2304428,Selfless,0.0,Y
2304428,Heroic,0.0,Y
2304429,Winterfox,Overpass,N
2304429,Winterfox,Overpass,Y
2304429,Splyce,Mirage,N
2304429,Splyce,Mirage,Y
2304431,Turkey,Mirage,Y
2304431,Turkey,Mirage,N
2304431,Russia,Train,Y
2304431,Russia,Train,N
2304432,ANOX,Cache,Y
2304432,ANOX,Cache,N
2304432,HellRaisers,Train,Y
2304432,HellRaisers,Train,N
2304433,Gambit,Train,N
2304433,Tengri,Cache,N
2304434,Spirit,Cobblestone,Y
2304434,Spirit,Cobblestone,N
2304434,Preparation,Overpass,Y
2304434,Preparation,Overpass,N
2304435,VG.CyberZen,Cobblestone,Y
2304435,EHOME,Train,Y
2304441,Winterfox,Cobblestone,Y
2304441,Selfless,Mirage,Y
2304442,Rogue,Cache,N
2304442,Complexity,Mirage,N
2304443,OpTic,Cobblestone,Y
2304443,OpTic,Cobblestone,N
2304443,Heroic,Train,Y
2304443,Heroic,Train,N
2304444,CLG,Mirage,N
2304444,Cloud9,Train,N
2304445,"Echo Fox",Cache,Y
2304445,"Echo Fox",Cache,N
2304445,Complexity,Dust2,Y
2304445,Complexity,Dust2,N
2304446,Selfless,Mirage,Y
2304446,Immortals,Overpass,Y
2304447,Heroic,Overpass,Y
2304447,Heroic,Overpass,N
2304447,Cloud9,Train,Y
2304447,Cloud9,Train,N
2304448,Immortals,Train,Y
2304448,Immortals,Train,N
2304448,"Echo Fox",Nuke,Y
2304448,"Echo Fox",Nuke,N
2304457,"Remo Brave",Cache,N
2304457,"Remo Brave",Cache,Y
2304457,CNB,Train,N
2304457,CNB,Train,Y
2304473,EURONICS,Cache,N
2304473,PENTA,Nuke,N
2304477,Heroic,Overpass,Y
2304477,"Echo Fox",Nuke,Y
2304478,Immortals,Train,N
2304478,Immortals,Train,Y
2304478,Cloud9,Cobblestone,N
2304478,Cloud9,Cobblestone,Y
2304491,GamePub,Mirage,N
2304491,iNation,Cobblestone,N
2304495,FaZe,Mirage,Y
2304495,mousesports,Nuke,Y
2304496,Envy,Nuke,Y
2304496,Envy,Nuke,N
2304496,Astralis,Dust2,Y
2304496,Astralis,Dust2,N
2304503,Astralis,0.0,N
2304503,FaZe,Mirage,N
2304512,ANOX,Cache,Y
2304512,MK,Dust2,Y
2304513,"Space Soldiers",Mirage,Y
2304513,PRIDE,Cobblestone,Y
2304514,MK,Overpass,N
2304514,Kinguin,Cobblestone,N
2304515,NiP,0.0,Y
2304515,HellRaisers,0.0,Y
2304516,Dignitas,0.0,Y
2304516,GODSENT,0.0,Y
2304517,"MVP Project",0.0,Y
2304517,G2,0.0,Y
2304519,FlipSid3,0.0,Y
2304519,FaZe,0.0,Y
2304520,"Natus Vincere",0.0,N
2304520,TYLOO,0.0,N
2304521,Astralis,0.0,N
2304521,Heroic,0.0,N
2304522,Heroic,0.0,N
2304522,TYLOO,0.0,N
2304523,Envy,0.0,N
2304523,Cloud9,0.0,N
2304524,Preparation,0.0,N
2304524,"ALTERNATE aTTaX",0.0,N
2304525,"Space Soldiers",Cobblestone,Y
2304525,LGR,Train,Y
2304541,MK,Dust2,Y
2304541,PRIDE,Cobblestone,Y
2304548,deadweight,Mirage,Y
2304548,GODSENT,Cache,Y
2304549,"ALTERNATE aTTaX",Cobblestone,N
2304549,FlipSid3,Overpass,N
2304550,Kinguin,Cache,N
2304550,Kinguin,Cache,Y
2304550,"Space Soldiers",Cobblestone,N
2304550,"Space Soldiers",Cobblestone,Y
2304551,"Space Soldiers",Dust2,Y
2304551,"Space Soldiers",Dust2,N
2304551,PRIDE,Cobblestone,Y
2304551,PRIDE,Cobblestone,N
2304552,"Epiphany Bolt",0.0,N
2304552,HEADSHOTBG,0.0,N
2304555,ENCE,0.0,Y
2304555,Spirit,0.0,Y
2304557,Shadows,Train,N
2304557,Tengri,Mirage,N
2304558,Dignitas,0.0,N
2304558,HellRaisers,0.0,N
2304559,NiP,0.0,Y
2304559,GODSENT,0.0,Y
2304560,"MVP Project",0.0,N
2304560,FlipSid3,0.0,N
2304561,G2,0.0,Y
2304561,FaZe,0.0,Y
2304564,"Natus Vincere",0.0,N
2304564,Astralis,0.0,N
2304566,XPC,Cobblestone,Y
2304566,PRIDE,Overpass,Y
2304567,Virtus.pro,0.0,N
2304567,VG.CyberZen,0.0,N
2304568,Virtus.pro,0.0,Y
2304568,Envy,0.0,Y
2304569,Cloud9,0.0,Y
2304569,VG.CyberZen,0.0,Y
2304570,Dignitas,Nuke,Y
2304570,Gambit,Cobblestone,Y
2304571,HellRaisers,Train,Y
2304571,FaZe,Nuke,Y
2304572,G2,Cobblestone,Y
2304572,Kinguin,Cache,Y
2304573,"ALTERNATE aTTaX",Dust2,N
2304573,"ALTERNATE aTTaX",Dust2,Y
2304573,GODSENT,Overpass,N
2304573,GODSENT,Overpass,Y
2304574,GODSENT,Overpass,Y
2304574,Dignitas,Dust2,Y
2304575,FaZe,Nuke,Y
2304575,FaZe,Nuke,N
2304575,FlipSid3,Train,Y
2304575,FlipSid3,Train,N
2304576,Astralis,Overpass,N
2304576,Astralis,Overpass,Y
2304576,TYLOO,Train,N
2304576,TYLOO,Train,Y
2304577,VG.CyberZen,Cache,Y
2304577,Envy,Dust2,Y
2304604,FlipSid3,Overpass,Y
2304604,FlipSid3,Overpass,N
2304604,Tricked,Mirage,Y
2304604,Tricked,Mirage,N
2304605,passions,Mirage,Y
2304605,Epsilon,Dust2,Y
2304606,FlipSid3,Overpass,Y
2304606,passions,Mirage,Y
2304607,passions,Mirage,N
2304607,passions,Mirage,Y
2304607,Gambit,Cobblestone,N
2304607,Gambit,Cobblestone,Y
2304608,FlipSid3,Mirage,N
2304608,Epsilon,Overpass,N
2304609,Heroic,Cobblestone,N
2304609,Tricked,Overpass,N
2304610,FlipSid3,Mirage,Y
2304610,FlipSid3,Mirage,N
2304610,Gambit,Train,Y
2304610,Gambit,Train,N
2304611,Preparation,Mirage,N
2304611,Heroic,Cobblestone,N
2304612,FlipSid3,Overpass,Y
2304612,Heroic,Nuke,Y
2304613,Epsilon,Mirage,N
2304613,Epsilon,Mirage,Y
2304613,Preparation,Overpass,N
2304613,Preparation,Overpass,Y
2304618,PRIDE,Overpass,N
2304618,PRIDE,Overpass,Y
2304618,"Epiphany Bolt",Cache,N
2304618,"Epiphany Bolt",Cache,Y
2304622,paiN,Cobblestone,N
2304622,paiN,Cobblestone,Y
2304622,Renegades,Mirage,N
2304622,Renegades,Mirage,Y
2304624,paiN,Overpass,Y
2304624,SK,Train,Y
2304626,RONIN,Mirage,N
2304626,paiN,Overpass,N
2304627,FlipSid3,Train,Y
2304627,FlipSid3,Train,N
2304627,Cloud9,Overpass,Y
2304627,Cloud9,Overpass,N
2304628,NiP,Cache,Y
2304628,NiP,Cache,N
2304628,Astralis,Dust2,Y
2304628,Astralis,Dust2,N
2304629,G2,Dust2,Y
2304629,Envy,Cobblestone,Y
2304630,Heroic,Cobblestone,N
2304630,Heroic,Cobblestone,Y
2304630,Dignitas,Nuke,N
2304630,Dignitas,Nuke,Y
2304631,Dignitas,Cache,N
2304631,Heroic,Overpass,N
2304658,Parallax,0.0,N
2304658,Legacy,0.0,N
2304666,g3x,Cobblestone,Y
2304666,"Dai Dai",Nuke,Y
2304667,CNB,Train,Y
2304667,CNB,Train,N
2304667,Innova,Cache,Y
2304667,Innova,Cache,N
2304668,Chiefs,0.0,N
2304668,Immunity,0.0,N
2304669,Parallax,0.0,Y
2304669,"Grinny Bankers",0.0,Y
2304670,Legacy,0.0,N
2304670,Athletico,0.0,N
2304672,Legacy,0.0,N
2304672,Chiefs,0.0,N
2304673,AVANT,0.0,N
2304673,Parallax,0.0,N
2304675,G2,Cobblestone,Y
2304675,Dignitas,Dust2,Y
2304676,NiP,Cache,Y
2304676,G2,Overpass,Y
2304677,HEADSHOTBG,Train,Y
2304677,HEADSHOTBG,Train,N
2304677,WinFiction,Cobblestone,Y
2304677,WinFiction,Cobblestone,N
2304678,Bpro,Train,Y
2304678,Friends,Dust2,Y
2304688,Immunity,0.0,Y
2304688,"SSU White",0.0,Y
2304690,AVANT,0.0,N
2304690,Chiefs,0.0,N
2304691,Incept,0.0,N
2304691,"Grinny Bankers",0.0,N
2304692,Athletico,Nuke,N
2304692,Athletico,Nuke,Y
2304692,Immunity,Overpass,N
2304692,Immunity,Overpass,Y
2304693,"Grinny Bankers",Overpass,N
2304693,AVANT,Cobblestone,N
2304695,WinFiction,Cache,Y
2304695,Friends,Nuke,Y
2304708,Immortals,Overpass,Y
2304708,RONIN,Cobblestone,Y
2304710,Renegades,Train,Y
2304710,Immortals,Mirage,Y
2304714,Renegades,Dust2,Y
2304714,SofaKingGood,Cobblestone,Y
2304715,Selfless,Cobblestone,Y
